-6,000	600027,136	17110,000
-5,000	600026,112	17191,000
-4,000	600023,040	17068,000
-3,500	601741,312	17300,000
-3,000	600019,968	17323,000
-2,500	598019,072	17181,000
-2,050	600996,864	17563,000
-1,950	600018,944	17257,000
-1,850	600016,896	17297,000
-1,750	601731,072	17189,000
-1,650	600016,896	17152,000
-1,550	598726,656	17153,000
-1,450	601396,224	17365,000
-1,350	601498,624	17463,000
-1,250	599217,152	17260,000
-1,150	600014,848	17159,000
-1,050	600015,872	17518,000
-1,000	600014,848	17382,000
-0,950	600015,872	17189,000
-0,900	600014,848	17218,000
-0,850	600016,896	17333,000
-0,800	600014,848	17323,000
-0,750	602681,344	17241,000
-0,700	600013,824	17463,000
-0,650	603090,944	17199,000
-0,600	600013,824	16955,000
-0,550	600013,824	17235,000
-0,500	600013,824	17019,000
-0,450	600013,824	17045,000
-0,400	600012,800	16822,000
-0,350	600012,800	16896,000
-0,300	600013,824	16719,000
-0,250	600013,824	16774,000
-0,200	600011,776	16855,000
-0,150	600012,800	16574,000
-0,100	600012,800	16492,000
-0,050	600012,800	16126,000
0,050	600012,800	15466,000
0,100	600012,800	15310,000
0,150	600012,800	15008,000
0,200	600011,776	15438,000
0,250	600012,800	15828,000
0,300	600012,800	15805,000
0,350	600014,848	16041,000
0,400	600012,800	16138,000
0,450	600013,824	15920,000
0,500	600012,800	16032,000
0,550	600013,824	16391,000
0,600	600012,800	16289,000
0,650	603090,944	16750,000
0,700	600013,824	16793,000
0,750	602681,344	16838,000
0,800	600014,848	16855,000
0,850	600013,824	17125,000
0,900	600014,848	17181,000
0,950	600013,824	17206,000
1,000	600015,872	17209,000
1,050	600015,872	17108,000
1,150	600015,872	17261,000
1,250	599215,104	17498,000
1,350	601498,624	17458,000
1,450	601397,248	17179,000
1,550	598727,680	17064,000
1,650	600016,896	17186,000
1,750	601731,072	17325,000
1,850	600016,896	17181,000
1,950	600018,944	17207,000
2,050	600993,792	17207,000
2,500	598020,096	17275,000
3,000	600016,896	17389,000
3,500	601739,264	17220,000
4,000	600022,016	17504,000
5,000	600025,088	17423,000
6,000	600025,088	17273,000
